Date,Open,High,Low,Close,Volume,Adj Close
2016-08-01,126.949997,127.099998,126.919998,126.959999,348100,126.69595
2016-07-29,127.110001,127.309998,127.080002,127.290001,415300,126.890541
2016-07-28,126.779999,127.00,126.760002,126.970001,161100,126.571546
2016-07-27,126.639999,126.889999,126.610001,126.889999,173100,126.491795
2016-07-26,126.540001,126.610001,126.43,126.580002,446500,126.18277
2016-07-25,126.669998,126.699997,126.529999,126.550003,325000,126.152866
2016-07-22,126.650002,126.800003,126.589996,126.68,207300,126.282455
2016-07-21,126.449997,126.800003,126.419998,126.800003,287400,126.402081
2016-07-20,126.620003,126.620003,126.470001,126.580002,282300,126.18277
2016-07-19,126.650002,126.779999,126.620003,126.730003,152800,126.332301
2016-07-18,126.660004,126.730003,126.489998,126.550003,225900,126.152866
2016-07-15,126.57,126.610001,126.449997,126.519997,2703000,126.122954
2016-07-14,126.68,126.900002,126.68,126.760002,425200,126.362206
2016-07-13,127.120003,127.139999,126.940002,126.970001,265500,126.571546
2016-07-12,126.919998,127.040001,126.769997,126.849998,266400,126.45192
2016-07-11,127.389999,127.440002,127.18,127.18,566300,126.780886
2016-07-08,127.400002,127.629997,127.330002,127.620003,204900,127.219508
2016-07-07,127.419998,127.650002,127.360001,127.589996,435500,127.189595
2016-07-06,127.629997,127.709999,127.50,127.620003,474700,127.219508
2016-07-05,127.610001,127.800003,127.559998,127.669998,473200,127.269346
2016-07-01,127.459999,127.540001,127.230003,127.410004,1907800,127.010168
2016-06-30,127.199997,127.449997,127.199997,127.349998,627700,126.81677
2016-06-29,127.339996,127.419998,127.150002,127.209999,337500,126.677357
2016-06-28,127.470001,127.480003,127.279999,127.449997,283600,126.91635
2016-06-27,127.489998,127.559998,127.400002,127.440002,411600,126.906398
2016-06-24,126.970001,127.18,126.879997,126.919998,363600,126.388571
2016-06-23,126.099998,126.160004,125.970001,125.970001,177700,125.442551
2016-06-22,126.25,126.370003,126.169998,126.330002,2067700,125.801045
2016-06-21,126.370003,126.440002,126.169998,126.18,214000,125.651671
2016-06-20,126.410004,126.410004,126.300003,126.32,146900,125.791084
2016-06-17,126.760002,126.760002,126.580002,126.669998,206400,126.139617
2016-06-16,126.980003,127.110001,126.739998,126.790001,329200,126.259118
2016-06-15,126.459999,126.889999,126.459999,126.830002,280000,126.298951
2016-06-14,126.68,126.68,126.459999,126.489998,263800,125.960371
2016-06-13,126.610001,126.610001,126.370003,126.510002,304900,125.980291
2016-06-10,126.190002,126.389999,126.190002,126.279999,131400,125.751251
2016-06-09,126.099998,126.160004,126.019997,126.029999,446900,125.502298
2016-06-08,125.919998,126.019997,125.910004,125.940002,502500,125.412678
2016-06-07,125.949997,126.00,125.889999,125.919998,302000,125.392758
2016-06-06,125.779999,125.900002,125.690002,125.790001,587000,125.263305
2016-06-03,125.849998,126.00,125.809998,125.940002,262800,125.412678
2016-06-02,125.089996,125.260002,125.089996,125.199997,166500,124.675771
2016-06-01,125.199997,125.290001,124.989998,125.010002,531000,124.486572
2016-05-31,124.900002,125.32,124.900002,125.220001,2841800,124.556277
2016-05-27,125.279999,125.360001,125.010002,125.099998,325200,124.436911
2016-05-26,125.199997,125.379997,125.139999,125.360001,293700,124.695535
2016-05-25,125.019997,125.110001,124.989998,125.029999,142000,124.367282
2016-05-24,125.139999,125.139999,124.980003,125.07,213400,124.407071
